id,name,description
28,Jibneh Arabieh,A simple cheese found all over the Middle East. It is particularly popular in the Persian Gulf area. The cheese has an open texture and a mild taste similar to Feta but less salty.
29,Kashkawan,"A type of yellow cheese made of sheep milk. In Albania, Bulgaria, Republic of Macedonia, Serbia and Romania, the term is often used to refer to all yellow cheeses (or even any cheese other than sirene)."
30,Labneh,"Also known as Greek yogurt, labneh is a strained yogurt product that is common in the Middle East and the Levant. Pictured is Labneh in olive oil"
31,Majdoule,A salty white cheese made up of thick strands of cheese braided together (hence the name)
32,Nabulsi cheese,"One of a number of Palestinian white brined cheeses made in the Middle East. Its name denotes its place of origin, Nablus[14] and it is well known throughout the West Bank and surrounding regions."
33,Shanklish,"A type of cow's milk or sheep milk cheese in Levantine cuisine. It is typically formed into balls of approximately 6 cm diameter, which are often covered in za'atar and Aleppo pepper, and then aged and dried."
34,Syrian cheese,"There are numerous different kinds of Syrian cheese. A few of the most common include Ackawi, Baladi and Charkassiye."
35,Tzfat cheese,A semi-hard cheese produced in Israel from sheep's milk. It was first produced by the Meiri dairy in Safed in 1840 and is still produced there by descendants of the original cheese makers.
36,Chimay cheeses,"brands, and varieties, of cheeses produced by Chimay Brewery, some soaked in Chimay Ale."
37,Herve cheese,An aged cheese made from unpasteurized cow's milk. It is traditionally aged in humid caves.
38,Le Wavreumont [16],"Produced from cow's milk, this cheese is semi-soft and its coloration varies from yellow to ivory depending upon the season in which its produced.[16] It is made by Fromagerie des Ardennes, which is in Ferrières, Belgium.[16]"
39,Limburger cheese,"Originated during the 19th century in the historical Duchy of Limburg, which is now divided among modern-day Belgium, Germany, and Netherlands. The cheese is especially known for its pungent odor. One of the most traditional forms of eating limburger is the limburger sandwich."
40,Maredsous cheese,"A loaf-shaped cheese made from cow's milk. The cheese is lightly pressed, then washed in brine to create the firm, orange crust and pungent aroma."
41,Passendale cheese,"Named for Passendale, the village where it originated, it's one of the best-known cheeses in Belgium. It resembles a loaf of bread and has a round shape and a hard, but edible brown rind with spots of white. Inside, the flesh is golden, dotted with small holes and very creamy. It has a firm and damp consistency, slightly sweet bouquet and mild flavor. The regular Passendale cheese exists in two variations called Passendale Classic and Passendale Prelude.[17]"
42,Remoudou,"It derives its name from the use of milk removed 15 minutes after the usual milking. Hence the wallon verb rimoûd meaning to re-milk.[18] This cheese weighs 200 to 500g. When it is washed with salt it gets a strong taste, and when it is washed with milk it keeps a mild taste. It is often sold in pieces."
43,Rodoric,"An aged cheese made from unpasteurized goat milk that's traditionally aged in humid caves. When young, the interior is sweet, with age the flavor becomes spicy."
44,Bryndza,"A sheep milk cheese made in Poland, Slovakia and Ukraine.[32] Recipes differ slightly across the countries."
45,Liptauer,"A spicy cheese spread made with sheep milk cheese,[31] goat's milk cheese, quark cheese or cottage cheese."
47,Korbaciky,"A type of string cheese made from steamed cheese interwoven into fine braids. Common flavors include salty, smoked and garlic."
48,Oštiepok,"A traditional Slovakian smoked sheep milk cheese, it is a protected trade name under the EU's protected geographical indication."
49,Parenica,"A traditional Slovakian cheese, it is a semi-firm, non-ripening, semi-fat, steamed and usually smoked cheese, although the non-smoked version is also produced. Parenica is cream and yellow in color, which is darkened by steaming. The cheese is produced in strips, which are woven into snail-like spirals."
